type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,deleted_flg
4,30,987,つくね串(たれ),,24.3,9.7,40,,269,20.8,13.7,2.3,FALSE
4,30,988,とり皮串(たれ),,4.3,1.3,30,,160,2.1,15.5,0.3,FALSE
4,30,989,ささみ串(たれ),,4.7,1.4,30,,45,8.4,0.4,0.3,FALSE
4,30,990,レバー串(たれ),,5,1.5,30,,40,5.8,0.9,0.3,FALSE
4,30,991,なんこつ串,,0.3,0.1,30,,16,3.8,0.1,0.6,FALSE
4,30,992,ずり(砂肝)串,,0,0,30,,28,5.5,0.5,0.3,FALSE
4,30,993,ハツ串,,0,0,30,,62,4.4,4.7,0.4,FALSE
4,30,994,豚ばら串,,0,0,30,,130,4,12,0.3,FALSE
4,30,995,牛串,,0.3,0.1,40,,127,6.5,10.6,0.4,FALSE
4,30,996,ししとう串,,2,0.3,15,,4,0.3,0.1,0.2,FALSE
4,30,997,しいたけ串,,1.7,0.5,30,,6,1,0.1,0.3,FALSE
4,31,998,おでんのだいこん,,4.5,4.5,100,,28,0.9,0.1,0.9,FALSE
4,31,999,おでんのこんにゃく,,1.8,1.1,60,,9,0.4,0,0.6,FALSE
4,31,1000,おでんのたまご,,2,1,50,,81,6.4,5.2,0.7,FALSE
4,31,1001,おでんのもち入り巾着,,53.5,10.7,20,,113,4.5,5.3,0.3,FALSE
4,31,1002,おでんの昆布,,40,2.4,6,,10,0.6,0.1,0.6,FALSE
4,31,1003,おでんのさつま揚げ,,15.8,9.5,60,,90,7.9,2.2,2.1,FALSE
4,31,1004,おでんのはんぺん,,13.4,13.4,100,,105,10.6,1,3.1,FALSE
4,31,1005,おでんのちくわ,,15.4,7.7,50,,66,6.4,1,1.9,FALSE
4,31,1006,おでんのごぼう天,,15.4,12.3,80,,113,9.5,2.6,2.6,FALSE
4,31,1007,おでんのたこ,,1.9,1.3,70,,76,15.6,0.5,1.1,FALSE
4,31,1008,おでんのつみれ,,8.5,8.5,100,,124,12.7,4.3,3,FALSE
4,31,1009,おでんのがんもどき,,1.9,1.9,100,,238,15.8,17.8,1.4,FALSE
4,31,1010,おでんのじゃがいも,,18,18,100,,86,2.1,0.1,0.9,FALSE
4,31,1011,おでんの牛すじ,,1.8,0.7,40,,66,11.5,2,0.5,FALSE
4,31,1012,おでんのロールキャベツ,,16.9,5.9,35,,132,7.8,7.7,1.3,FALSE
4,32,1013,ハラミ,,0,0,150,,514,19.9,45.6,0,FALSE
4,32,1014,ミノ,,0,0,100,,183,24.6,8.4,0.1,FALSE
4,32,1015,鶏肉(焼肉用),,0.1,0.1,120,,246,20,17.1,0.2,FALSE
4,32,1016,豚トロ,,0.1,0.1,90,,231,16,17.4,0.1,FALSE
4,32,1017,ホルモン,,0.1,0.1,100,,163,9.4,13,0.2,FALSE
4,32,1018,タン,,0.2,0.2,90,,321,12,28.6,0.2,FALSE
4,32,1019,カルビ,,0.3,0.3,90,,384,11.6,35.5,0.1,FALSE
4,32,1020,ロース,,0.3,0.3,105,,430,14.9,39,0.1,FALSE
4,32,1021,ユッケ,,2.6,3.1,117,,279,24.5,16.7,0.7,FALSE
4,32,1022,韓国風冷麺,,18.2,41.8,230,,384,8.3,18.5,4,FALSE
4,32,1023,ビビンバ,,23.5,98.3,418,,506,10.6,3.9,2.4,FALSE
4,33,1024,いかの天ぷら,,12,2.4,20,,65,4.1,4,0.1,FALSE
4,33,1025,たまねぎの天ぷら,,9,2.7,30,,48,0.4,3.7,0,FALSE
4,33,1026,ほたての天ぷら,,14,2.8,20,,53,3.8,2.7,0.1,FALSE
4,33,1027,白身魚の天ぷら,,15,3,20,,68,4.3,4,0.1,FALSE
4,33,1028,あなごの天ぷら,,15,3,20,,84,4.1,5.8,0.1,FALSE
4,33,1029,えびの天ぷら,,11,4.4,40,,103,8.3,5.4,0.2,FALSE
4,33,1030,ちくわの天ぷら,,19.6,4.9,25,,67,3.4,3.7,0.5,FALSE
4,33,1031,かぼちゃの天ぷら,,28.5,5.7,20,,66,0.9,3.9,0,FALSE
4,33,1032,たこの天ぷら,,12.4,6.2,50,,170,12.2,10,0.3,FALSE
4,33,1033,かき揚げの天ぷら,,26.6,16.5,62,,256,5.9,17.1,0.1,FALSE
4,33,1034,もずくの天ぷら,,24.4,19.5,80,,312,3.7,22.6,0.8,FALSE
4,34,1035,牛肉串揚げ,,11.7,3.5,30,,118,7.3,7.8,0.2,FALSE
4,34,1036,豚肉串揚げ,,11.3,3.4,30,,93,7.8,5,0.2,FALSE
4,34,1037,ささみ串揚げ,,11,2.2,20,,61,5.3,3.1,0.2,FALSE
4,34,1038,アスパラベーコン串揚げ,,10.8,2.7,25,,126,3,11.2,0.4,FALSE
4,34,1039,ほたて串揚げ,,10,2,20,,57,3.8,3.6,0.2,FALSE
4,34,1040,えび串揚げ,,8,1.6,20,,52,4.2,2.9,0.2,FALSE
4,34,1041,かに爪串揚げ,,6.4,1.6,25,,58,4,3.7,0.4,FALSE
4,34,1042,うずら卵串揚げ,,6.3,1.9,30,,115,4.4,9.5,0.1,FALSE
4,34,1043,きす串揚げ,,10,2.5,25,,60,5.3,2.9,0.2,FALSE
5,35,1044,トマトジュース,,3.3,6.6,200,,34,1.4,0.2,0.6,FALSE
5,35,1045,オレンジストレートジュース,,10.6,21.2,200,,82,1,0.2,0,FALSE
5,35,1046,グレープフルーツストレートジュース,,10.2,20.4,200,,80,1.2,0.2,0,FALSE
5,35,1047,りんごストレートジュース,,11.8,23.6,200,,88,0.4,0.2,0,FALSE
5,35,1048,乳酸菌飲料,,16.5,10.7,65,,46,0.7,0.1,0,FALSE
5,35,1049,緑茶,,0.2,0.2,100,,2,0.2,0,0,FALSE
5,35,1050,ほうじ茶,,0.1,0.2,200,,0,0,0,0,FALSE
5,35,1051,玄米茶,,0,0,100,,0,0,0,0,FALSE
5,35,1052,ウーロン茶,,0.1,0.2,200,,0,0,0,0,FALSE
5,35,1053,コーヒー(無糖),,0.7,1.1,150,,6,0.3,0,0,FALSE
5,35,1054,紅茶(ストレート),,0.1,0.2,150,,2,0.2,0,0,FALSE
5,35,1055,ココア,,7.1,10.7,150,,100,4.2,4.9,0.1,FALSE
5,35,1056,青汁,,42.2,42.2,100,,375,13.8,4.4,0.6,FALSE
5,35,1057,スポーツドリンク,,5.1,10.2,200,,42,0,0,0.2,FALSE
